shared_observation_rate,direct_contrastive_bound,separate_value_bound,cancellation_gain
0.02,0.1314285714285714,-0.8485714285714288,0.98
0.039599999999999996,0.1314285714285714,-0.8289714285714285,0.9604000000000001
0.0592,0.1314285714285714,-0.8093714285714282,0.9407999999999999
0.0788,0.1314285714285714,-0.789771428571429,0.9212
0.0984,0.1314285714285714,-0.7701714285714285,0.9016
0.11800000000000001,0.1314285714285714,-0.7505714285714289,0.8820000000000001
0.1376,0.1314285714285714,-0.7309714285714286,0.8623999999999999
0.15719999999999998,0.1314285714285714,-0.7113714285714288,0.8428
0.17679999999999998,0.1314285714285714,-0.6917714285714287,0.8232000000000002
0.1964,0.1314285714285714,-0.6721714285714282,0.8035999999999998
0.216,0.1314285714285714,-0.6525714285714286,0.7839999999999999
0.23559999999999998,0.1314285714285714,-0.6329714285714287,0.7644000000000001
0.2552,0.1314285714285714,-0.6133714285714282,0.7447999999999999
0.2748,0.1314285714285714,-0.5937714285714288,0.7252000000000001
0.2944,0.1314285714285714,-0.5741714285714288,0.7055999999999999
0.314,0.1314285714285714,-0.5545714285714287,0.686
0.3336,0.1314285714285714,-0.5349714285714287,0.6663999999999999
0.3532,0.1314285714285714,-0.5153714285714288,0.6468
0.3728,0.1314285714285714,-0.49577142857142853,0.6272000000000002
0.3924,0.1314285714285714,-0.47617142857142847,0.6076
0.41200000000000003,0.1314285714285714,-0.4565714285714284,0.5879999999999999
0.4316,0.1314285714285714,-0.4369714285714288,0.5684
0.4512,0.1314285714285714,-0.4173714285714285,0.5487999999999998
0.4708,0.1314285714285714,-0.3977714285714291,0.5292000000000001
0.4904,0.1314285714285714,-0.3781714285714286,0.5095999999999998
0.51,0.1314285714285714,-0.35857142857142854,0.49
0.5296,0.1314285714285714,-0.3389714285714289,0.47040000000000015
0.5492,0.1314285714285714,-0.3193714285714284,0.4507999999999998
0.5688,0.1314285714285714,-0.2997714285714288,0.43119999999999997
0.5884,0.1314285714285714,-0.2801714285714283,0.41159999999999997
0.608,0.1314285714285714,-0.26057142857142823,0.3919999999999998
0.6276,0.1314285714285714,-0.24097142857142861,0.3724000000000001
0.6472,0.1314285714285714,-0.22137142857142855,0.35279999999999995
0.6668,0.1314285714285714,-0.20177142857142827,0.33319999999999994
0.6864,0.1314285714285714,-0.18217142857142887,0.3136000000000001
0.706,0.1314285714285714,-0.1625714285714288,0.29399999999999993
0.7256,0.1314285714285714,-0.1429714285714283,0.2743999999999999
0.7452,0.1314285714285714,-0.12337142857142869,0.2547999999999999
0.7648,0.1314285714285714,-0.10377142857142885,0.23520000000000008
0.7844,0.1314285714285714,-0.08417142857142856,0.21560000000000024
0.804,0.1314285714285714,-0.0645714285714285,0.1959999999999999
0.8236,0.1314285714285714,-0.04497142857142844,0.1763999999999999
0.8432,0.1314285714285714,-0.025371428571428822,0.15680000000000005
0.8628,0.1314285714285714,-0.0057714285714283164,0.13720000000000004
0.8824,0.1314285714285714,0.01382857142857108,0.1176000000000002
0.902,0.1314285714285714,0.033428571428571585,0.09799999999999986
0.9216,0.1314285714285714,0.053028571428571425,0.07840000000000003
0.9412,0.1314285714285714,0.07262857142857149,0.05880000000000002
0.9608,0.1314285714285714,0.09222857142857155,0.039199999999999846
0.9803999999999999,0.1314285714285714,0.11182857142857139,0.019600000000000006
1.0,0.1314285714285714,0.13142857142857145,0.0
